Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-04-28,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-04-28,Utah
3,1,Trey Lance,North Dakota State,QB,San Francisco (Trade),-7,35,2021-04-28,North Dakota
4,1,Kyle Pitts,Florida,TE,Atlanta,-1,35,2021-04-28,Florida
5,1,Penei Sewell,Oregon,OT,Cincinnati,+3,35,2021-04-28,Oregon
6,1,Ja'Marr Chase,LSU,WR,Miami (Trade),+3,35,2021-04-28,Louisiana
7,1,DeVonta Smith,Alabama,WR,Detroit,-2,35,2021-04-28,Alabama
8,1,Rashawn Slater,Northwestern,OT,Carolina,-3,35,2021-04-28,Illinois
9,1,Justin Fields,Ohio State,QB,Denver,+3,35,2021-04-28,Ohio
10,1,Patrick Surtain II,Alabama,CB,Dallas,+2,35,2021-04-28,Alabama
11,1,Jaylen Waddle,Alabama,WRS,NY Giants,+4,30,2021-04-28,Alabama
12,1,Jaycee Horn,South Carolina,CB,Philadelphia (Trade),-1,30,2021-04-28,South Carolina
13,1,Christian Darrisaw,Virginia Tech,OT,LA Chargers,-1,30,2021-04-28,Virginia
14,1,Micah Parsons,Penn State,ILB,Minnesota,+2,30,2021-04-28,Pennsylvania
15,1,Mac Jones,Alabama,QB,New England,+0,30,2021-04-28,Alabama
16,1,Caleb Farley,Virginia Tech,CB,Arizona,-13,30,2021-04-28,Virginia
17,1,Trevon Moehrig,TCU,S,Las Vegas,-4,30,2021-04-28,Texas
18,1,Kwity Paye,Michigan,EDGE,Miami,+1,30,2021-04-28,Michigan
19,1,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Washington,-7,30,2021-04-28,Indiana
20,1,Greg Newsome II,Northwestern,CB,Chicago,-4,30,2021-04-28,Illinois
21,1,Samuel Cosmi,Texas,OT,Indianapolis,-4,25,2021-04-28,Texas
22,1,Rashod Bateman,Minnesota,WR,Tennessee,+0,25,2021-04-28,Minnesota
23,1,Alijah Vera-Tucker,USC,OG,NY Jets (Trade),+4,25,2021-04-28,California
