Rank,Change,Player,School,Position,Height,Weight,CollegeClass,Date,DraftStatus
1,--,Trevor Lawrence,Clemson,QB,"6'6""",220,JR,2021-04-27,Eligible
2,--,Penei Sewell,Oregon,OT,"6'5""",331,JR,2021-04-27,Eligible
3,--,Ja'Marr Chase,LSU,WR,"6'1""",200,JR,2021-04-27,Eligible
4,--,Zach Wilson,BYU,QB,6'3'',210,JR,2021-04-27,Eligible
5,--,Kyle Pitts,Florida,TE,"6'5""",239,JR,2021-04-27,Eligible
6,--,Justin Fields,Ohio State,QB,6'3'',228,JR,2021-04-27,Eligible
7,--,Jaylen Waddle,Alabama,WRS,"5'10""",182,JR,2021-04-27,Eligible
8,--,Patrick Surtain II,Alabama,CB,"6'1""",203,JR,2021-04-27,Eligible
9,--,DeVonta Smith,Alabama,WR,"6'1""",175,SR,2021-04-27,Eligible
10,--,Trey Lance,North Dakota State,QB,"6'3""",226,RSO,2021-04-27,Eligible
11,--,Rashawn Slater,Northwestern,OT,6'4'',314,SR,2021-04-27,Eligible
12,+1,Micah Parsons,Penn State,ILB,"6'2""",245,JR,2021-04-27,Eligible
13,--,Jaycee Horn,South Carolina,CB,"6'0""",200,JR,2021-04-27,Eligible
14,--,Christian Darrisaw,Virginia Tech,OT,6'5'',314,RJR,2021-04-27,Eligible
15,--,Mac Jones,Alabama,QB,6'2'',214,RJR,2021-04-27,Eligible
16,--,Jaelan Phillips,Miami (FL),EDGE,"6'5""",255,RJR,2021-04-27,Eligible
17,--,Kwity Paye,Michigan,EDGE,"6'4""",277,SR,2021-04-27,Eligible
18,--,Azeez Ojulari,Georgia,EDGE,"6'3""",249,RSO,2021-04-27,Eligible
19,+2,Alijah Vera-Tucker,USC,OG,"6'4""",315,RJR,2021-04-27,Eligible
20,--,Christian Barmore,Alabama,DL3T,"6'5""",310,RSO,2021-04-27,Eligible
21,-5,Trevon Moehrig,TCU,S,"6'2""",202,JR,2021-04-27,Eligible
22,-2,Rashod Bateman,Minnesota,WR,"6'1""",210,JR,2021-04-27,Eligible
23,--,Asante Samuel Jr.,Florida State,CB,"5'10""",180,JR,2021-04-27,Eligible
24,--,Greg Newsome II,Northwestern,CB,"6'1""",190,JR,2021-04-27,Eligible
25,--,Samuel Cosmi,Texas,OT,"6'7""",309,RJR,2021-04-27,Eligible
26,--,Jeremiah Owusu-Koramoah,Notre Dame,OLB,6'1'',216,SR,2021-04-27,Eligible
27,--,Alex Leatherwood,Alabama,OT,"6'6""",312,SR,2021-04-27,Eligible
28,--,Rondale Moore,Purdue,WRS,"5'7""",165,JR,2021-04-27,Eligible
29,--,Caleb Farley,Virginia Tech,CB,"6'2""",197,RJR,2021-04-27,Eligible
30,--,Richie Grant,UCF,S,"6'0""",194,RSR,2021-04-27,Eligible
31,+4,Teven Jenkins,Oklahoma State,OT,6'6'',320,RSR,2021-04-27,Eligible
32,--,Travis Etienne,Clemson,RB,"5'10""",210,SR,2021-04-27,Eligible
33,-4,Wyatt Davis,Ohio State,OG,"6'4""",315,RJR,2021-04-27,Eligible
34,--,Zaven Collins,Tulsa,OLB,6'4'',260,RJR,2021-04-27,Eligible
35,--,Joseph Ossai,Texas,EDGE,"6'4""",253,JR,2021-04-27,Eligible
36,+4,Gregory Rousseau,Miami (FL),EDGE,"6'5""",260,RSO,2021-04-27,Eligible
37,--,Terrace Marshall,LSU,WR,"6'3""",200,JR,2021-04-27,Eligible
38,--,Jayson Oweh,Penn State,EDGE,"6'5""",257,RSO,2021-04-27,Eligible
39,--,Jalen Mayfield,Michigan,OT,"6'5""",320,RSO,2021-04-27,Eligible
40,--,Nick Bolton,Missouri,ILB,"6'0""",235,JR,2021-04-27,Eligible
41,+8,Levi Onwuzurike,Washington,DL3T,"6'3""",293,RSR,2021-04-27,Eligible
42,--,Najee Harris,Alabama,RB,"6'2""",230,SR,2021-04-27,Eligible
43,--,Trey Smith,Tennessee,OG,"6'6""",330,SR,2021-04-27,Eligible
44,--,Kadarius Toney,Florida,WR,5'11'',190,SR,2021-04-27,Eligible
45,--,Carlos Basham Jr.,Wake Forest,DL5T,"6'5""",285,RSR,2021-04-27,Eligible
46,--,Creed Humphrey,Oklahoma,OC,"6'5""",320,RJR,2021-04-27,Eligible
47,--,Tyson Campbell,Georgia,CB,"6'2""",180,JR,2021-04-27,Eligible
48,--,Jevon Holland,Oregon,S,"6'1""",196,JR,2021-04-27,Eligible
49,+15,Jamin Davis,Kentucky,ILB,"6'4""",234,JR,2021-04-27,Eligible
50,--,Jay Tufele,USC,DL3T,"6'2""",310,RJR,2021-04-27,Eligible
51,--,Jabril Cox,LSU,OLB,"6'2""",233,RSR,2021-04-27,Eligible
52,--,Javonte Williams,North Carolina,RB,"5'10""",220,JR,2021-04-27,Eligible
53,-8,Daviyon Nixon,Iowa,DL3T,"6'3""",305,JR,2021-04-27,Eligible
54,--,Liam Eichenberg,Notre Dame,OT,"6'6""",302,RSR,2021-04-27,Eligible
55,--,Pat Freiermuth,Penn State,TE,"6'5""",250,JR,2021-04-27,Eligible
56,--,Jaylen Twyman,Pitt,DL5T,"6'2""",290,RJR,2021-04-27,Eligible
57,--,Elijah Moore,Ole Miss,WRS,"5'9""",184,JR,2021-04-27,Eligible
58,--,Tylan Wallace,Oklahoma State,WR,"6'0""",185,SR,2021-04-27,Eligible
59,--,Ben Cleveland,Georgia,OG,"6'6""",335,RSR,2021-04-27,Eligible
60,--,Andre Cisco,Syracuse,S,"6'0""",203,JR,2021-04-27,Eligible
61,--,Landon Dickerson,Alabama,OC,6'6'',325,RSR,2021-04-27,Eligible
62,--,Elijah Molden,Washington,CB,"5'10""",186,SR,2021-04-27,Eligible
63,+7,Amon-Ra St. Brown,USC,WR,"6'1""",195,JR,2021-04-27,Eligible
64,--,Jackson Carman,Clemson,OT,"6'5""",335,JR,2021-04-27,Eligible
65,--,Joe Tryon,Washington,EDGE,"6'5""",262,RJR,2021-04-27,Eligible
66,--,Seth Williams,Auburn,WR,"6'2""",224,JR,2021-04-27,Eligible
67,+10,Baron Browning,Ohio State,ILB,"6'3""",248,SR,2021-04-27,Eligible
68,-6,Marvin Wilson,Florida State,DL1T,"6'3""",319,SR,2021-04-27,Eligible
69,--,Alim McNeill,NC State,DL3T,"6'2""",320,JR,2021-04-27,Eligible
70,--,Eric Stokes,Georgia,CB,"6'1""",185,RJR,2021-04-27,Eligible
71,-12,Tyler Shelvin,LSU,DL1T,"6'3""",346,RJR,2021-04-27,Eligible
72,--,Dyami Brown,North Carolina,WR,"6'1""",185,JR,2021-04-27,Eligible
73,--,Chazz Surratt,North Carolina,OLB,"6'3""",230,RSR,2021-04-27,Eligible
74,--,Dillon Radunz,North Dakota State,OT,6'6'',299,SR,2021-04-27,Eligible
75,--,Ronnie Perkins,Oklahoma,OLB,6'4',230,JR,2021-04-27,Eligible
76,--,Michael Carter,North Carolina,RBC,"5'9""",195,SR,2021-04-27,Eligible
77,--,Ifeatu Melifonwu,Syracuse,CB,"6'3""",212,RJR,2021-04-27,Eligible
78,-20,Dylan Moses,Alabama,OLB,"6'3""",235,SR,2021-04-27,Eligible
79,--,Kyle Trask,Florida,QB,6'4'',240,RSR,2021-04-27,Eligible
